Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,69.139999,70.650002,68.360001,68.379997,67.912567,28890800
2018-10-12,70.449997,71.230003,68.410004,69.839996,69.362579,29024200
2018-10-15,70.129997,70.639999,69.180000,69.209999,68.736893,17661300
2018-10-16,69.889999,70.040001,69.169998,69.709999,69.233475,15453500
2018-10-17,69.349998,70.790001,69.029999,69.839996,69.362579,16774200
2018-10-18,69.540001,70.389999,68.410004,68.620003,68.150932,18168500
2018-10-19,68.540001,69.599998,68.160004,68.860001,68.389290,16721900
2018-10-22,68.889999,69.209999,66.570000,66.589996,66.134796,17890900
2018-10-23,64.150002,66.080002,63.180000,65.730003,65.280685,32809200
2018-10-24,65.410004,65.410004,63.590000,63.799999,63.363873,23420600
2018-10-25,64.769997,65.510002,64.330002,64.970001,64.525879,19510300
2018-10-26,64.169998,64.739998,63.180000,64.209999,63.771072,24066300
2018-10-29,65.059998,65.620003,63.680000,64.349998,63.910114,20036800
2018-10-30,64.599998,65.190002,63.810001,64.529999,64.088882,19951900
2018-10-31,65.010002,66.209999,64.839996,65.459999,65.012527,20450300
2018-11-01,66.089996,66.440002,65.199997,65.830002,65.379997,17744100
2018-11-02,66.070000,66.919998,65.580002,65.919998,65.919998,21214800
2018-11-05,66.300003,67.470001,66.260002,67.300003,67.300003,14823900
2018-11-06,67.309998,67.309998,66.169998,66.680000,66.680000,17049600
2018-11-07,67.290001,68.309998,66.699997,68.260002,68.260002,15529300
2018-11-08,67.940002,69.000000,66.849998,67.779999,67.779999,18908100
2018-11-09,67.199997,67.489998,65.180000,65.760002,65.760002,27123800
