Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,36.750000,36.880001,36.099998,36.299999,36.299999,346300
2018-10-12,36.570000,36.570000,35.849998,36.139999,36.139999,140400
2018-10-15,36.500000,36.580002,36.340000,36.380001,36.380001,87700
2018-10-16,36.480000,36.740002,36.380001,36.689999,36.689999,146500
2018-10-17,36.259998,36.259998,35.720001,35.939999,35.939999,195300
2018-10-18,35.560001,35.650002,34.889999,34.930000,34.930000,432300
2018-10-19,35.220001,35.740002,35.220001,35.480000,35.480000,339800
2018-10-22,35.139999,35.169998,34.779999,34.959999,34.959999,107000
2018-10-23,34.279999,34.560001,33.959999,34.419998,34.419998,226500
2018-10-24,34.189999,34.230000,33.169998,33.169998,33.169998,273600
2018-10-25,33.799999,34.160000,33.619999,33.799999,33.799999,226900
2018-10-26,33.910000,34.669998,33.830002,34.500000,34.500000,181400
2018-10-29,35.029999,35.139999,34.000000,34.630001,34.630001,245200
2018-10-30,34.639999,35.090000,34.599998,35.080002,35.080002,120600
2018-10-31,35.320000,35.750000,35.279999,35.340000,35.340000,346900
2018-11-01,35.349998,35.400002,35.000000,35.209999,35.209999,163200
2018-11-02,35.279999,35.349998,34.669998,34.919998,34.919998,130300
2018-11-05,35.480000,35.560001,35.139999,35.310001,35.310001,195700
2018-11-06,35.160000,35.320000,34.889999,35.320000,35.320000,148300
2018-11-07,35.990002,36.070000,35.720001,35.939999,35.939999,108200
2018-11-08,35.730000,35.750000,34.930000,35.090000,35.090000,117600
2018-11-09,34.770000,35.169998,34.669998,35.040001,35.040001,127700
