Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,73.489998,73.500000,71.589996,71.779999,71.779999,3424000
2018-10-12,71.650002,72.000000,70.790001,71.370003,71.370003,3111700
2018-10-15,71.309998,71.900002,71.019997,71.610001,71.610001,3378200
2018-10-16,71.519997,72.629997,71.500000,72.300003,72.300003,2163500
2018-10-17,72.139999,72.559998,71.690002,72.300003,72.300003,2153400
2018-10-18,72.320000,72.790001,71.959999,72.230003,72.230003,2239100
2018-10-19,72.169998,73.989998,72.169998,73.500000,73.500000,4303900
2018-10-22,73.779999,73.900002,72.870003,73.269997,73.269997,3175400
2018-10-23,73.459999,73.989998,72.790001,72.910004,72.910004,3225500
2018-10-24,73.209999,74.650002,72.879997,74.190002,74.190002,3834500
2018-10-25,74.059998,74.110001,72.489998,72.730003,72.730003,2758100
2018-10-26,73.089996,73.580002,71.010002,71.669998,71.669998,3841200
2018-10-29,71.849998,72.790001,71.680000,72.199997,72.199997,3443000
2018-10-30,72.519997,72.940002,71.720001,72.839996,72.839996,3824400
2018-10-31,72.389999,72.610001,71.309998,71.419998,71.419998,3774800
2018-11-01,71.809998,72.440002,69.980003,70.330002,70.330002,5079500
2018-11-02,70.400002,70.650002,68.699997,69.889999,69.889999,4719200
2018-11-05,70.000000,70.730003,69.699997,70.230003,70.230003,3363200
2018-11-06,70.349998,70.790001,70.010002,70.669998,70.669998,2464300
2018-11-07,70.889999,71.260002,70.430000,71.180000,71.180000,2829600
2018-11-08,71.279999,71.620003,70.320000,71.220001,71.220001,2045600
2018-11-09,71.260002,72.440002,71.110001,72.250000,72.250000,2682900
